symbol,datetime,open,close,high,low,volume,new york time,per_of_change,typical_mult_volume,Cumulative_TPV,Cumulative_Vol,vwap,buy_condition,order_type,instruction,order_time,fill_time,order_id,quantity,asset_type,order_status,Ticker,price,Manual_order_type,Manual_instruction,Manual_order_time,Manual_fill_time,Manual_order_id,Manual_quantity,Manual_asset_type,Manual_order_status,Manual_Ticker,Manual_price,quoteTime,option_id,right,strike,expiration,description,bid,ask,last,total_volume,daysToExpiration,quoteTime_put
TQQQ,2024-08-20 08:05:00,71.77,71.84,71.85,71.77,322.19,2024-08-20 04:05:00,0.111,23139.685800000003,0.0,0.0,0.0,No action,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TQQQ,2024-08-20 08:10:00,71.88,71.78,71.9,71.77,201.76,2024-08-20 04:10:00,-0.084,14489.730666666668,0.0,0.0,0.0,No action,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TQQQ,2024-08-20 08:15:00,71.79,71.75,71.82,71.74,70.37,2024-08-20 04:15:00,-0.042,5050.4549,0.0,0.0,0.0,No action,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TQQQ,2024-08-20 08:20:00,71.75,71.63,71.75,71.6,99.39,2024-08-20 04:20:00,-0.167,7122.287399999999,0.0,0.0,0.0,No action,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TQQQ,2024-08-20 08:25:00,71.63,71.55,71.63,71.55,113.74,2024-08-20 04:25:00,-0.112,8141.130066666667,0.0,0.0,0.0,No action,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TQQQ,2024-08-20 08:30:00,71.56,71.45,71.6,71.45,150.76,2024-08-20 04:30:00,-0.14,10779.34,0.0,0.0,0.0,No action,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TQQQ,2024-08-20 08:35:00,71.46,71.4,71.48,71.4,103.72,2024-08-20 04:35:00,-0.07,7408.373866666668,0.0,0.0,0.0,No action,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TQQQ,2024-08-20 08:40:00,71.37,71.29,71.37,71.25,262.57,2024-08-20 04:40:00,-0.154,18722.116233333334,0.0,0.0,0.0,No action,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TQQQ,2024-08-20 08:45:00,71.3,71.43,71.43,71.3,208.31,2024-08-20 04:45:00,0.196,14870.556533333334,0.0,0.0,0.0,No action,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TQQQ,2024-08-20 08:50:00,71.42,71.47,71.47,71.42,109.31,2024-08-20 04:50:00,0.056,7810.563866666666,0.0,0.0,0.0,No action,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
